,0,1
107,2,"0.005*""कह"" + 0.005*""वाक्य"" + 0.005*""रावण"" + 0.005*""कठोर"" + 0.005*""वचन"" + 0.005*""राक्षस"" + 0.005*""भाई"" + 0.005*""विभीषण"" + 0.005*""हि"" + 0.005*""भय"""
108,3,"0.005*""कह"" + 0.005*""भाई"" + 0.005*""वाक्य"" + 0.005*""रावण"" + 0.005*""राक्षस"" + 0.005*""हि"" + 0.005*""विभीषण"" + 0.005*""वचन"" + 0.005*""राजन्"" + 0.005*""ज्ञाति"""
109,4,"0.031*""कह"" + 0.023*""वाक्य"" + 0.016*""विभीषण"" + 0.016*""रावण"" + 0.016*""भाई"" + 0.016*""राक्षस"" + 0.012*""हि"" + 0.012*""कठोर"" + 0.012*""वचन"" + 0.008*""मया"""
110,0,"0.005*""वाक्य"" + 0.005*""सुन"" + 0.005*""राम"" + 0.005*""सीता"" + 0.005*""तु"" + 0.005*""शृणु"" + 0.005*""बोल"" + 0.005*""सुग्रीव"" + 0.005*""भाई"" + 0.005*""विभीषण"""
111,1,"0.005*""वाक्य"" + 0.005*""रावण"" + 0.005*""सुन"" + 0.005*""राम"" + 0.005*""भाई"" + 0.005*""कह"" + 0.005*""बोल"" + 0.005*""वा"" + 0.005*""विभीषण"" + 0.005*""शृणु"""
112,2,"0.005*""वाक्य"" + 0.005*""बोल"" + 0.005*""विभीषण"" + 0.005*""भाई"" + 0.005*""सुन"" + 0.005*""राम"" + 0.005*""दीन"" + 0.005*""रावण"" + 0.005*""कह"" + 0.005*""सीता"""
113,3,"0.022*""वाक्य"" + 0.013*""भाई"" + 0.013*""विभीषण"" + 0.013*""बोल"" + 0.013*""राम"" + 0.013*""वा"" + 0.013*""सुन"" + 0.009*""शृणु"" + 0.009*""जल्दी"" + 0.009*""त्याग"""
114,4,"0.005*""राम"" + 0.005*""वाक्य"" + 0.005*""सुन"" + 0.005*""विभीषण"" + 0.005*""बोल"" + 0.005*""भाई"" + 0.005*""वा"" + 0.005*""जल्दी"" + 0.005*""शृणु"" + 0.005*""शरण"""
115,0,"0.006*""सब"" + 0.006*""कह"" + 0.006*""सुन"" + 0.006*""राम"" + 0.006*""विभीषण"" + 0.006*""राक्षस"" + 0.006*""छोटा"" + 0.006*""दोष"" + 0.006*""रावण"" + 0.006*""शुद्ध"""
116,1,"0.006*""कह"" + 0.006*""सब"" + 0.006*""राम"" + 0.006*""विभीषण"" + 0.006*""राक्षस"" + 0.006*""वचन"" + 0.006*""पी"" + 0.006*""नेत्र"" + 0.006*""धानरश्रेष्ठ"" + 0.006*""दोष"""
117,2,"0.006*""सब"" + 0.006*""राम"" + 0.006*""कह"" + 0.006*""वचन"" + 0.006*""विभीषण"" + 0.006*""सुन"" + 0.006*""शत्रु"" + 0.006*""रावण"" + 0.006*""भाई"" + 0.006*""शुद्ध"""
118,3,"0.006*""कह"" + 0.006*""सब"" + 0.006*""राम"" + 0.006*""विभीषण"" + 0.006*""सुन"" + 0.006*""वचन"" + 0.006*""रावण"" + 0.006*""राक्षस"" + 0.006*""शुद्ध"" + 0.006*""भाई"""
119,4,"0.029*""सब"" + 0.029*""कह"" + 0.025*""राम"" + 0.021*""विभीषण"" + 0.017*""वचन"" + 0.017*""सुन"" + 0.013*""राक्षस"" + 0.013*""शुद्ध"" + 0.013*""शरणागत"" + 0.013*""शत्रु"""
120,0,"0.005*""राम"" + 0.005*""रावण"" + 0.005*""समुद्र"" + 0.005*""पर्वत"" + 0.005*""सेतु"" + 0.005*""सेना"" + 0.005*""लक्ष्मण"" + 0.005*""बडा"" + 0.005*""वानर"" + 0.005*""युद्ध"""
121,1,"0.005*""राम"" + 0.005*""विभीषण"" + 0.005*""भये"" + 0.005*""जीत"" + 0.005*""समेत"" + 0.005*""कह"" + 0.005*""समुद्र"" + 0.005*""सब"" + 0.005*""देवता"" + 0.005*""योजन"""
122,2,"0.005*""राम"" + 0.005*""समुद्र"" + 0.005*""पर्वत"" + 0.005*""सेना"" + 0.005*""रावण"" + 0.005*""सेतु"" + 0.005*""वानर"" + 0.005*""विभीषण"" + 0.005*""लक्ष्मण"" + 0.005*""सुन"""
123,3,"0.031*""राम"" + 0.021*""समुद्र"" + 0.017*""रावण"" + 0.014*""सेना"" + 0.014*""सेतु"" + 0.014*""वानर"" + 0.014*""पर्वत"" + 0.011*""युद्ध"" + 0.011*""सुन"" + 0.011*""बडा"""
124,4,"0.005*""राम"" + 0.005*""समुद्र"" + 0.005*""वानर"" + 0.005*""सेना"" + 0.005*""सेतु"" + 0.005*""लक्ष्मण"" + 0.005*""रावण"" + 0.005*""सब"" + 0.005*""पर्वत"" + 0.005*""मूल"""
125,0,"0.005*""सेना"" + 0.005*""सारण"" + 0.005*""कह"" + 0.005*""वानर"" + 0.005*""राक्षस"" + 0.005*""राम"" + 0.005*""गुप्तचर"" + 0.005*""सब"" + 0.005*""विभीषण"" + 0.005*""रावण"""
126,1,"0.005*""सेना"" + 0.005*""सारण"" + 0.005*""कह"" + 0.005*""वानर"" + 0.005*""गुप्तचर"" + 0.005*""बोल"" + 0.005*""शुक"" + 0.005*""बांध"" + 0.005*""राम"" + 0.005*""रघुनन्दन"""
127,2,"0.005*""सेना"" + 0.005*""सारण"" + 0.005*""कह"" + 0.005*""राम"" + 0.005*""राक्षस"" + 0.005*""वानर"" + 0.005*""दिखला"" + 0.005*""विभीषण"" + 0.005*""रावण"" + 0.005*""लक्ष्मण"""
128,3,"0.005*""सेना"" + 0.005*""कह"" + 0.005*""सारण"" + 0.005*""राम"" + 0.005*""वानर"" + 0.005*""राक्षस"" + 0.005*""गुप्तचर"" + 0.005*""शुक"" + 0.005*""बोल"" + 0.005*""वचन"""
129,4,"0.036*""सेना"" + 0.029*""सारण"" + 0.025*""कह"" + 0.025*""राम"" + 0.022*""वानर"" + 0.018*""राक्षस"" + 0.014*""गुप्तचर"" + 0.014*""बोल"" + 0.014*""शुक"" + 0.011*""विभीषण"""
